"word","sentiment","Polarität"
"Isolation",-0.3453,"negative"
"Jammer",-0.4613,"negative"
"Jähzorn",-0.0048,"negative"
"Kampf",-0.5372,"negative"
"Kapitalverbrechen",-0.0048,"negative"
"Kapitulation",-0.0048,"negative"
"Katastrophe",-0.5027,"negative"
"Keim",-0.0048,"negative"
"Klage",-0.0048,"negative"
"Klischee",-0.48,"negative"
"Kläger",-0.3673,"negative"
"Knappheit",-0.0048,"negative"
"Kollaps",-0.0048,"negative"
"Kollision",-0.3323,"negative"
"Komplikation",-0.0048,"negative"
"Konflikt",-0.0048,"negative"
"Konfrontation",-0.0048,"negative"
"Konjunkturrückgang",-0.0048,"negative"
"Konkurrenz",-0.0461,"negative"
"Konkurrenzkampf",-0.0494,"negative"
"Konkurs",-0.0048,"negative"
"Kontroverse",-0.3329,"negative"
"Kopfschmerz",-0.1993,"negative"
"Korruption",-0.3439,"negative"
"Kostspieligkeit",-0.0048,"negative"
"Krach",-0.0048,"negative"
"Krachen",-0.0048,"negative"
"Krankheit",-0.6858,"negative"
"Krieg",-0.5364,"negative"
"Kriminalität",-0.0048,"negative"
"Krise",-0.3621,"negative"
"Kritik",-0.5308,"negative"
"Kritiker",-0.6494,"negative"
"Kränkung",-0.0048,"negative"
"Krüppel",-0.3203,"negative"
"Kurseinbruch",-0.0048,"negative"
"Kälte",-0.0048,"negative"
"Kündigung",-0.0048,"negative"
"Kürzung",-0.341,"negative"
"Langeweile",-0.0377,"negative"
"Langweiler",-0.0443,"negative"
"Last",-0.0048,"negative"
"Launenhaftigkeit",-0.0048,"negative"
"Lebensgefahr",-0.0048,"negative"
"Leblosigkeit",-0.0048,"negative"
"Leere",-0.0048,"negative"
"Leichtsinn",-0.3253,"negative"
"Leichtsinnsfehler",-0.0371,"negative"
"Leid",-0.5056,"negative"
"Leidende",-0.0048,"negative"
"Liquidation",-0.0048,"negative"
"Lähmung",-0.0048,"negative"
"Löschung",-0.0048,"negative"
"Lüge",-0.5,"negative"
"Lügner",-0.4767,"negative"
"Makel",-0.1813,"negative"
"Mangel",-0.3669,"negative"
"Manipulation",-0.3455,"negative"
"Massaker",-0.0048,"negative"
"Maßlosigkeit",-0.0048,"negative"
"Melancholie",-0.1859,"negative"
"Melodrama",-0.0048,"negative"
"Merkwürdigkeit",-0.0048,"negative"
"Minderung",-0.0048,"negative"
"Minderwertigkeit",-0.3201,"negative"
"Missachtung",-0.0048,"negative"
"Missbrauch",-0.0048,"negative"
"Missgeschick",-0.0472,"negative"
"Missglück",-0.0048,"negative"
"Misstrauen",-0.4778,"negative"
"Misstrauensantrag",-0.0048,"negative"
"Missverständnis",-0.4756,"negative"
"Mist",-0.1732,"negative"
"Mittellosigkeit",-0.0048,"negative"
"Mittelmäßigkeit",-0.0048,"negative"
"Monotonie",-0.0048,"negative"
"Mord",-0.3595,"negative"
"Mutlosigkeit",-0.0048,"negative"
"Müdigkeit",-0.1995,"negative"
"Mühe",-0.0048,"negative"
"Müll",-0.3377,"negative"
"Nachlässigkeit",-0.0048,"negative"
"Nachteil",-0.8102,"negative"
"Naivität",-0.0048,"negative"
"Narr",-0.335,"negative"
"Negativität",-0.3155,"negative"
"Neid",-0.4729,"negative"
"Nervosität",-0.1833,"negative"
"Neustart",-0.0504,"negative"
"Niedergang",-0.0048,"negative"
"Niedergeschlagenheit",-0.0048,"negative"
"Niederlage",-0.3651,"negative"
"Not",-0.2187,"negative"
"Notfall",-0.0468,"negative"
"Notstand",-0.0048,"negative"
"Nutzlosigkeit",-0.0048,"negative"
"Nötigung",-0.0048,"negative"
"Oberflächlichkeit",-0.3299,"negative"
"Offensive",-0.0048,"negative"
"Opposition",-0.3631,"negative"
"Panik",-0.3429,"negative"
"Panne",-0.1901,"negative"
"Pech",-0.4823,"negative"
"Pessimismus",-0.4715,"negative"
"Pest",-0.3456,"negative"
"Pflicht",-0.3577,"negative"
"Pleite",-0.3323,"negative"
"Preissturz",-0.0048,"negative"
"Problem",-0.3865,"negative"
"Propaganda",-0.4893,"negative"
"Protest",-0.3564,"negative"
"Provisorium",-0.0048,"negative"
"Provokation",-0.0048,"negative"
"Qual",-0.0402,"negative"
"Qualitätsminderung",-0.3096,"negative"
"Rache",-0.3534,"negative"
"Ratlosigkeit",-0.0048,"negative"
"Raub",-0.0048,"negative"
"Rebell",-0.0048,"negative"
"Rebellion",-0.0048,"negative"
"Rechtswidrigkeit",-0.0499,"negative"
"Redundanz",-0.0048,"negative"
"Reinfall",-0.0048,"negative"
"Reklamation",-0.0048,"negative"
"Reparatur",-0.0048,"negative"
"Revolte",-0.0048,"negative"
"Revolution",-0.0048,"negative"
"Rezession",-0.3454,"negative"
"Risiko",-0.687,"negative"
"Rivale",-0.0502,"negative"
"Rivalität",-0.0048,"negative"
"Rost",-0.0048,"negative"
"Ruin",-0.0048,"negative"
"Rutsch",-0.0048,"negative"
"Rätselraten",-0.0048,"negative"
"Räuber",-0.3508,"negative"
"Rückfall",-0.0048,"negative"
"Rückgang",-0.2096,"negative"
"Rückschritt",-0.0048,"negative"
"Rücksendung",-0.3465,"negative"
"Rücksichtslosigkeit",-0.0048,"negative"
"Rückstand",-0.063,"negative"
"Rückständigkeit",-0.0048,"negative"
"Rücktritt",-0.0048,"negative"
"Rückzug",-0.3501,"negative"
"Sabotage",-0.0048,"negative"
"Sackgasse",-0.3455,"negative"
"Schaden",-0.5299,"negative"
"Schadensbild",-0.0048,"negative"
"Scham",-0.4829,"negative"
"Schande",-0.0048,"negative"
"Scheidung",-0.2023,"negative"
"Scheitern",-0.3524,"negative"
"Schelte",-0.0048,"negative"
"Scheußlichkeit",-0.0048,"negative"
"Schlachtfeld",-0.0048,"negative"
"Schlag",-0.0048,"negative"
"Schlamperei",-0.0048,"negative"
"Schlechtigkeit",-0.4646,"negative"
"Schlitterbahn",-0.0048,"negative"
"Schlägerei",-0.0048,"negative"
"Schmerz",-0.0048,"negative"
"Schmuggel",-0.0048,"negative"
"Schmutz",-0.0542,"negative"
"Schock",-0.0048,"negative"
"Schramme",-0.0048,"negative"
"Schreck",-0.194,"negative"
"Schrott",-0.0534,"negative"
"Schräglauf",-0.0048,"negative"
"Schubs",-0.0048,"negative"
"Schuld",-0.9686,"negative"
"Schuldner",-0.0048,"negative"
"Schuldnerin",-0.0048,"negative"
"Schurke",-0.3306,"negative"
"Schwierigkeit",-0.0483,"negative"
"Schwund",-0.0048,"negative"
"Schwäche",-0.5035,"negative"
"Schwächung",-0.337,"negative"
"Schädigung",-0.0048,"negative"
"Senkung",-0.0545,"negative"
"Sinnlosigkeit",-0.0048,"negative"
"Sintflut",-0.3313,"negative"
"Skandal",-0.0048,"negative"
"Sklave",-0.3281,"negative"
"Sklavenarbeit",-0.0048,"negative"
"Sorge",-0.3618,"negative"
"Spott",-0.3357,"negative"
"Sprengstoff",-0.0048,"negative"
"Sprengung",-0.0048,"negative"
"Stagnation",-0.0048,"negative"
"Stau",-0.0438,"negative"
"Sterben",-0.0539,"negative"
"Steuerhinterziehung",-0.0048,"negative"
"Stilllegung",-0.0048,"negative"
"Stillstand",-0.0048,"negative"
"Stornierung",-0.0048,"negative"
"Stoß",-0.0048,"negative"
"Strafverfahren",-0.0048,"negative"
"Strapaze",-0.0048,"negative"
"Streik",-0.0048,"negative"
"Streit",-0.6632,"negative"
"Strenge",-0.0048,"negative"
"Stress",-0.0048,"negative"
"Sturheit",-0.1894,"negative"
"Sturz",-0.6316,"negative"
"Störung",-0.3569,"negative"
"Sucht",-0.3505,"negative"
"Sündenbock",-0.3285,"negative"
"Tabu",-0.0048,"negative"
"Terror",-0.0048,"negative"
"Terrorismus",-0.3553,"negative"
"Teuerung",-0.322,"negative"
"Teuerungsrate",-0.0048,"negative"
"Teufelskreis",-0.479,"negative"
"Tod",-0.0697,"negative"
"Todesfall",-0.0048,"negative"
"Todesstrafe",-0.0048,"negative"
"Torheit",-0.0048,"negative"
"Totschlag",-0.0048,"negative"
"Tragödie",-0.0048,"negative"
"Trauer",-0.0048,"negative"
"Trauma",-0.0048,"negative"
"Traurigkeit",-0.0457,"negative"
"Trennung",-0.5071,"negative"
"Tristesse",-0.0555,"negative"
"Trostlosigkeit",-0.0048,"negative"
"Trott",-0.0048,"negative"
"Trugschluß",-0.0048,"negative"
"Trugschluss",-0.0048,"negative"
"Trägheit",-0.1937,"negative"
"Träne",-0.0562,"negative"
"Trübsal",-0.189,"negative"
"Turbulenz",-0.0048,"negative"
"Tyrannei",-0.3243,"negative"
"Täuschung",-0.3445,"negative"
"Umtausch",-0.343,"negative"
"Unbehagen",-0.3291,"negative"
"Unbehaglichkeit",-0.0048,"negative"
"Unbeliebtheit",-0.0048,"negative"
"Unbequemlichkeit",-0.0048,"negative"
"Unbestimmtheit",-0.0537,"negative"
"Undankbarkeit",-0.0048,"negative"
"Unehrlichkeit",-0.0048,"negative"
"Uneinigkeit",-0.3289,"negative"
"Unerbittlichkeit",-0.0048,"negative"
"Unerträglichkeit",-0.0048,"negative"
"Unfall",-0.0048,"negative"
"Unfreundlichkeit",-0.3085,"negative"
"Unfug",-0.3394,"negative"
"Unfähigkeit",-0.1896,"negative"
"Ungeduld",-0.4655,"negative"
"Ungehorsamkeit",-0.0048,"negative"
"Ungenauigkeit",-0.0048,"negative"
"Ungerechtigkeit",-0.3419,"negative"
"Ungeschicklichkeit",-0.3116,"negative"
"Unglaubwürdigkeit",-0.0048,"negative"
"Ungleichheit",-0.0048,"negative"
"Unglück",-0.5004,"negative"
"Unheilbarkeit",-0.0048,"negative"
"Unhöflichkeit",-0.0048,"negative"
"Unklarheit",-0.0048,"negative"
"Unmenschlichkeit",-0.0048,"negative"
"Unmoral",-0.3172,"negative"
"Unmut",-0.3394,"negative"
"Unordnung",-0.3391,"negative"
"Unrecht",-0.5086,"negative"
"Unregelmäßigkeit",-0.0048,"negative"
"Unrentabilität",-0.0048,"negative"
"Unruhe",-0.201,"negative"
"Unsicherheit",-0.358,"negative"
"Unsinn",-0.4969,"negative"
"Unstetigkeit",-0.3075,"negative"
"Unstimmigkeit",-0.0048,"negative"
"Unterbrechung",-0.0048,"negative"
"Unterdrückung",-0.0048,"negative"
"Untergang",-0.3498,"negative"
"Unterlassung",-0.0048,"negative"
"Unterwerfung",-0.3279,"negative"
"Untreue",-0.3293,"negative"
"Unverantwortlichkeit",-0.3068,"negative"
"Unvereinbarkeit",-0.0048,"negative"
"Unverhältnismäßigkeit",-0.0048,"negative"
"Unverschämtheit",-0.0048,"negative"
"Unvollkommenheit",-0.0048,"negative"
"Unvollständigkeit",-0.0048,"negative"
"Unwahrheit",-0.466,"negative"
"Unwirksamkeit",-0.0048,"negative"
"Unwirtschaftlichkeit",-0.0048,"negative"
"Unwissenheit",-0.4935,"negative"
"Unzufriedenheit",-0.6324,"negative"
"Unzumutbarkeit",-0.0048,"negative"
"Unzuverlässigkeit",-0.0048,"negative"
"Vagheit",-0.0048,"negative"
"Verachtung",-0.3308,"negative"
"Verbannung",-0.0048,"negative"
"Verbot",-0.0048,"negative"
"Verdacht",-0.8074,"negative"
"Verdorbenheit",-0.0048,"negative"
"Verdrängung",-0.0048,"negative"
"Verdächtige",-0.0048,"negative"
"Verfall",-0.0048,"negative"
"Verfehlung",-0.0048,"negative"
"Vergeltung",-0.3369,"negative"
"Vergeltungsmaßnahme",-0.0048,"negative"
"Vergeudung",-0.0048,"negative"
"Verherrlichung",-0.0048,"negative"
"Verhängnis",-0.0048,"negative"
"Verkleinerung",-0.0048,"negative"
"Verlangsamung",-0.0048,"negative"
"Verletzung",-0.5032,"negative"
"Verleumdung",-0.4792,"negative"
"Verlierer",-0.3441,"negative"
"Verlust",-0.5204,"negative"
"Vermeidung",-0.0048,"negative"
"Verminderung",-0.0048,"negative"
"Vernachlässigung",-0.328,"negative"
"Vernichtung",-0.4883,"negative"
"Verrat",-0.0048,"negative"
"Verräter",-0.3352,"negative"
"Verrückter",-0.0447,"negative"
"Verrücktheit",-0.0048,"negative"
"Versagen",-0.3517,"negative"
"Verschlechterung",-0.4959,"negative"
"Verschmutzung",-0.3392,"negative"
"Verschwendung",-0.0048,"negative"
"Verschwörung",-0.3355,"negative"
"Versenkung",-0.0048,"negative"
"Versklavung",-0.0048,"negative"
"Verstoß",-0.0048,"negative"
"Verstrickung",-0.0048,"negative"
"Versuchung",-0.3463,"negative"
"Versäumnis",-0.0048,"negative"
"Vertreibung",-0.0048,"negative"
"Verurteilung",-0.0048,"negative"
"Verweigerung",-0.3441,"negative"
"Verwerfung",-0.3202,"negative"
"Verwirrung",-0.3323,"negative"
"Verwundung",-0.0048,"negative"
"Verwüstung",-0.0048,"negative"
"Verzerrung",-0.0048,"negative"
"Verzicht",-0.2022,"negative"
"Verzweiflung",-0.0048,"negative"
"Verzögerung",-0.0048,"negative"
"Vorurteil",-0.6261,"negative"
"Vorwand",-0.0048,"negative"
"Vorwurf",-0.5095,"negative"
"Wahnsinn",-0.0048,"negative"
"Wermutstropfen",-0.3356,"negative"
"Wertlosigkeit",-0.0048,"negative"
"Wertverlust",-0.0048,"negative"
"Wichtigtuer",-0.0048,"negative"
"Widernatürlichkeit",-0.0048,"negative"
"Widerruf",-0.0048,"negative"
"Widerspruch",-0.3655,"negative"
"Widrigkeit",-0.0048,"negative"
"Wirtschaftskrise",-0.0048,"negative"
"Wrack",-0.0048,"negative"
"Wunde",-0.3396,"negative"
"Wut",-0.4726,"negative"
"Wüste",-0.0048,"negative"
"Zahlungsunfähigkeit",-0.0048,"negative"
"Zeitverschwendung",-0.3223,"negative"
"Zensur",-0.3468,"negative"
"Zerrung",-0.0048,"negative"
"Zerschlagung",-0.0048,"negative"
"Zerstörung",-0.3578,"negative"
"Ziellosigkeit",-0.0048,"negative"
"Zoll",-0.0048,"negative"
"Zorn",-0.3537,"negative"
"Zumutung",-0.3286,"negative"
"Zusammenbruch",-0.0048,"negative"
"Zusammenstoß",-0.3302,"negative"
"Zwang",-0.0721,"negative"
"Zwangslage",-0.0048,"negative"
"Zwangsmaßnahme",-0.0048,"negative"
"Zweifel",-0.0048,"negative"
"Zwietracht",-0.0048,"negative"
"abbauen",-0.0578,"negative"
"abbrechen",-0.3482,"negative"
"abdanken",-0.0048,"negative"
"abdämpfen",-0.0048,"negative"
"abfallen",-0.0048,"negative"
"abfällig",-0.3197,"negative"
"abführen",-0.3358,"negative"
"abgebrochen",-0.0048,"negative"
"abgedroschen",-0.1839,"negative"
"abgestanden",-0.0368,"negative"
"abgetakelt",-0.0048,"negative"
"abgleiten",-0.0397,"negative"
"abgründig",-0.1719,"negative"
"abhängig",-0.0048,"negative"
"ablaufen",-0.0048,"negative"
"ablehnen",-0.6458,"negative"
"ablenken",-0.042,"negative"
"abnehmen",-0.0292,"negative"
"abnutzen",-0.0417,"negative"
"abraten",-0.3353,"negative"
"abreißen",-0.3116,"negative"
"abrupt",-0.0048,"negative"
"abrutschen",-0.0048,"negative"
"abschaffen",-0.0048,"negative"
"abschießen",-0.0048,"negative"
"abschrecken",-0.178,"negative"
"abschreckend",-0.049,"negative"
"abschreiben",-0.1847,"negative"
"abschwächen",-0.0048,"negative"
"abschätzig",-0.0048,"negative"
"absenken",-0.0048,"negative"
"absinken",-0.3269,"negative"
"abspalten",-0.3099,"negative"
"absperren",-0.0048,"negative"
"absteigen",-0.4776,"negative"
"abstoßen",-0.1796,"negative"
"abstoßend",-0.5859,"negative"
"abstumpfen",-0.0048,"negative"
"abstürzen",-0.4697,"negative"
"absurd",-0.212,"negative"
"abtragen",-0.0048,"negative"
"abweichen",-0.3422,"negative"
"abweisen",-0.0048,"negative"
"abwerten",-0.4521,"negative"
"achtlos",-0.0048,"negative"
"aggressiv",-0.4484,"negative"
"alarmieren",-0.0048,"negative"
"alkoholisiert",-0.0048,"negative"
"alt",-0.0048,"negative"
"altmodisch",-0.0382,"negative"
"amateurhaft",-0.4485,"negative"
"ambivalent",-0.4628,"negative"
"androhen",-0.0048,"negative"
"anfällig",-0.1884,"negative"
"angespannt",-0.4744,"negative"
"angestrengt",-0.0415,"negative"
"angetrunken",-0.0048,"negative"
"angreifen",-0.0464,"negative"
"anklagen",-0.0048,"negative"
"anmaßen",-0.0048,"negative"
"annullieren",-0.3149,"negative"
"anschießen",-0.0048,"negative"
"anspannen",-0.0444,"negative"
"anstrengen",-0.0048,"negative"
"anstrengend",-0.0048,"negative"
"anstößig",-0.0048,"negative"
"antiquiert",-0.0048,"negative"
"anzünden",-0.3333,"negative"
"apathisch",-0.3252,"negative"
"apokalyptisch",-0.0048,"negative"
"arbeitslos",-0.3426,"negative"
"archaisch",-0.0048,"negative"
"arm",-0.4546,"negative"
"armselig",-0.1814,"negative"
"arrogant",-0.4659,"negative"
"attackieren",-0.0048,"negative"
"aufblasen",-0.0048,"negative"
